NIT;SUBSECTOR;VENTAS;GASTOFINANCIERO
802021432;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;147988677000;553514000
804016903;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;12137156000;78635000
809011440;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;1251506000;74758000
830010181;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;212908389000;236831000
830014795;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;24661655000;462735000
830017209;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;16674888000;495239000
830037278;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;38343493000;210388000
830055997;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;25488165000;179903000
830065063;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;1017901000000;9070000000
830087848;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;95249363000;1095918000
830095579;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;61966410000;551043000
830121796;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;44510744000;1179010000
860000368;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;45740391000;1669394000
860030723;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;61495276000;1027021000
860039333;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;34356387000;2401000
860500630;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;31762295000;854000000
890001600;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;105003541000;139967000
890116937;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;90155942000;3262694000
890206611;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;120314998000;6693541000
890300005;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;77204669000;29511324000
890306372;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;179346230000;3199807000
890323635;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;32036216000;514841000
890912962;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;16339556000;247265000
900007122;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;46194139000;1108349000
900048099;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;1773314000;78528000
900061516;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;275809114000;3078156000
900221097;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;4607596000;118692000
900277370;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;163740297000;662612000
900310725;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;21571015000;5882356000
13920613;COMERCIO DE FARMACÉUTICOS, COSMÉTICOS Y PRODUCTOS DE TOCADOR;78009029000;1514398000
14221410;COMERCIO DE FARMACÉUTICOS, COSMÉTICOS Y PRODUCTOS DE TOCADOR;79196374000;1919518000
800052534;COMERCIO DE FARMACÉUTICOS, COSMÉTICOS Y PRODUCTOS DE TOCADOR;164565395000;1248086000
