NIT;SUBSECTOR;VENTAS;GASTOFINANCIERO
815000997;AUTOMOTORES;146638126000;261407000
816003186;AUTOMOTORES;145788912000;2037223000
824001273;AUTOMOTORES;51271420000;965891000
830004993;AUTOMOTORES;580440000000;6172000000
830006901;AUTOMOTORES;61083566000;547476000
830008804;AUTOMOTORES;123993110000;20517000
830011616;AUTOMOTORES;71955887000;548531000
830033403;AUTOMOTORES;82315488000;36625000
830044266;AUTOMOTORES;660095658000;15819843000
830045752;AUTOMOTORES;104251828000;128502000
830048284;AUTOMOTORES;24953107000;1910748000
830078966;AUTOMOTORES;1109382526000;8921315000
830096048;AUTOMOTORES;45641065000;841663000
830129016;AUTOMOTORES;4936630000;574431000
860001307;AUTOMOTORES;1112182544000;20564340000
860001576;AUTOMOTORES;51917046000;716772000
860007884;AUTOMOTORES;156021959000;2642365000
860015118;AUTOMOTORES;304940218000;5795913000
860032115;AUTOMOTORES;135060513000;863393000
860034604;AUTOMOTORES;52677800000;1636032000
860047657;AUTOMOTORES;450337133000;9441448000
860052634;AUTOMOTORES;262897675000;9441700000
860056330;AUTOMOTORES;93049816000;1021533000
860060543;AUTOMOTORES;55827871000;368782000
860069497;AUTOMOTORES;259566034000;4537134000
860078024;AUTOMOTORES;178300285000;2474514000
860507710;AUTOMOTORES;194821590000;3815411000
860508936;AUTOMOTORES;22829305000;712753000
860509514;AUTOMOTORES;411357424000;6594972000
860519235;AUTOMOTORES;94710660000;15935000
860536250;AUTOMOTORES;61418669000;883158000
890100164;AUTOMOTORES;36980829000;12234000
890102782;AUTOMOTORES;31768499000;174982000
890200179;AUTOMOTORES;223890560000;3444918000
890201902;AUTOMOTORES;21741648000;372047000
890301680;AUTOMOTORES;188914267000;2728178000
890308965;AUTOMOTORES;5733847000;263159000
890327282;AUTOMOTORES;134824419000;1507060000
890403068;AUTOMOTORES;146749127000;2758484000
890403472;AUTOMOTORES;23716258000;850971000
890700031;AUTOMOTORES;108027140000;713383000
890800100;AUTOMOTORES;41496472000;264323000
890801770;AUTOMOTORES;57848162000;805317000
890802377;AUTOMOTORES;34429992000;264601000
890802651;AUTOMOTORES;28262054000;300033000
890900016;AUTOMOTORES;38552059000;1087507000
890900066;AUTOMOTORES;55082500000;3040862000
890900081;AUTOMOTORES;209702480000;2631055000
890900234;AUTOMOTORES;9237759000;477506000
890903024;AUTOMOTORES;446131530000;8779669000
890904615;AUTOMOTORES;35225678000;1137791000
890905627;AUTOMOTORES;176450061000;1138047000
890911878;AUTOMOTORES;25223250000;1433951000
